City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,katsuren-haebaru,26.3369,127.8719,19.43,60,75,2.06,JP,1704673315
145,avarua,-21.2078,-159.775,29.03,79,75,7.72,CK,1704673315
146,waat,51.1454,6.4958,-0.05,74,100,4.63,DE,1704673315
147,pacasmayo,-7.4006,-79.5714,23.37,77,85,5.13,PE,1704673315
148,tura,25.5198,90.2201,13.07,68,0,1.09,IN,1704673316
149,bull savanna,17.8868,-77.5902,23.97,82,4,3.82,JM,1704673316
150,atafu village,-8.5421,-172.5159,26.71,75,100,1.43,TK,1704673316
151,gadzhiyevo,69.2551,33.3362,-2.75,72,85,16.57,RU,1704673316
152,beatrice,40.2681,-96.747,0.66,86,0,5.66,US,1704673316
153,minas de marcona,-15.2119,-75.1103,18.54,73,100,5.54,PE,1704673316
154,sao luiz gonzaga,-28.4083,-54.9608,24.69,82,100,2.45,BR,1704673316
155,queenstown,-31.8976,26.8753,15.41,82,100,0.81,ZA,1704673316
156,la passe,45.5549,-0.8967,5.13,82,74,5.23,FR,1704673316
157,hotan,37.0997,79.9269,-2.37,42,84,1.39,CN,1704673316
158,sao gabriel da cachoeira,-0.1303,-67.0892,25.09,88,65,0.28,BR,1704673316
159,port elizabeth,-33.918,25.5701,18.94,94,75,6.17,ZA,1704673316
160,yacuiba,-22.038,-63.6797,31.57,40,28,4.87,BO,1704673316
161,mahdia,35.5047,11.0622,10.97,56,1,8.93,TN,1704673316
162,zaozersk,69.4005,32.4476,-4.8,90,58,10.59,RU,1704673317
163,leava,-14.3,-178.1667,28.38,79,100,4.88,WF,1704673317
164,saldanha,-33.0117,17.9442,16.03,76,0,10.38,ZA,1704673317
165,san patricio,28.017,-97.5169,19.91,67,96,7.21,US,1704673317
166,loreto,22.2667,-101.9667,17.43,37,52,8.17,MX,1704673317
167,carnarvon,-24.8667,113.6333,24.16,77,0,6.26,AU,1704673317
168,sudzha,51.1976,35.2726,-15.24,88,100,5.85,RU,1704673171
169,baicheng,45.6167,122.8167,-15.29,84,95,5.4,CN,1704673317
170,sao joao da barra,-21.6403,-41.0511,25.05,86,11,3.21,BR,1704673317
171,cambria,35.5641,-121.0808,14.3,65,0,3.58,US,1704673317
172,benalla,-36.55,145.9833,21.83,80,97,2.92,AU,1704673317
173,charters towers,-20.1,146.2667,29.58,57,87,2.96,AU,1704673317
174,tokar,18.4254,37.729,24.87,79,1,3.5,SD,1704673041
175,geraldton,-28.7667,114.6,27.23,65,2,5.14,AU,1704673152
176,ampanihy,-24.7,44.75,24.08,85,8,0.55,MG,1704673317
177,opoczno,51.3757,20.2783,-7.17,65,100,6.19,PL,1704673317
178,kodiak,57.79,-152.4072,2.73,70,0,1.54,US,1704673317
179,pankrushikha,53.8319,80.3406,-2.33,95,100,8.93,RU,1704673317
180,port alfred,-33.5906,26.891,17.88,95,100,1.34,ZA,1704673318
181,kangding,30.0513,101.9603,0.44,32,0,3.36,CN,1704673318
182,trincomalee,8.5711,81.2335,26.39,83,82,3.92,LK,1704673318
183,susuman,62.7833,148.1667,-38.34,98,97,1.34,RU,1704673318
184,callao,-12.0667,-77.15,25.4,69,75,8.23,PE,1704673318
